Word,Tag
THE,DET
EIGHT,NOUN
PARTS,NOUN
OF,NOUN
SPEECH,NOUN
There,DET
are,VERB
eight,NUM
parts,NOUN
of,ADP
speech,NOUN
in,ADP
the,DET
English,ADJ
language,NOUN
noun,ADJ
pronoun,NOUN
verb,NOUN
adjective,ADJ
adverb,NOUN
preposition,NOUN
conjunction,NOUN
and,CONJ
interjection,NOUN
The,DET
part,NOUN
of,ADP
speech,NOUN
indicates,VERB
how,ADV
the,DET
word,NOUN
functions,NOUN
in,ADP
meaning,NOUN
as,ADV
well,ADV
as,ADP
grammatically,ADV
within,ADP
the,DET
sentence,NOUN
An,DET
individual,ADJ
word,NOUN
can,VERB
function,VERB
as,ADP
more,ADJ
than,ADP
one,NUM
part,NOUN
of,ADP
speech,NOUN
when,ADV
used,VERB
in,ADP
different,ADJ
circumstances,NOUN
Understanding,VERB
parts,NOUN
of,ADP
speech,NOUN
is,VERB
essential,ADJ
for,ADP
determining,VERB
the,DET
correct,ADJ
definition,NOUN
of,ADP
a,DET
word,NOUN
when,ADV
using,VERB
the,DET
dictionary,ADJ
1,NUM
NOUN,NOUN
A,NOUN
noun,NOUN
is,VERB
the,DET
name,NOUN
of,ADP
a,DET
person,NOUN
place,ADJ
thing,NOUN
or,CONJ
idea,NOUN
man,NOUN
...,.
Butte,NOUN
College,NOUN
...,.
house,NOUN
...,.
happiness,NOUN
A,DET
noun,NOUN
is,VERB
a,DET
word,NOUN
for,ADP
a,DET
person,NOUN
place,ADJ
thing,NOUN
or,CONJ
idea,NOUN
Nouns,NOUN
are,VERB
often,ADV
used,VERB
with,ADP
an,DET
article,NOUN
the,DET
a,DET
an,DET
but,CONJ
not,ADV
always,ADV
Proper,NOUN
nouns,VERB
always,ADV
start,VERB
with,ADP
a,DET
capital,NOUN
letter,NOUN
common,ADJ
nouns,NOUN
do,VERB
not,ADV
Nouns,VERB
can,VERB
be,VERB
singular,ADJ
or,CONJ
plural,ADJ
concrete,NOUN
or,CONJ
abstract,ADJ
Nouns,NOUN
show,NOUN
possession,NOUN
by,ADP
adding,VERB
's,PRT
Nouns,NOUN
can,VERB
function,VERB
in,ADP
different,ADJ
roles,NOUN
within,ADP
a,DET
sentence,NOUN
for,ADP
example,NOUN
a,DET
noun,NOUN
can,VERB
be,VERB
a,DET
subject,ADJ
direct,ADJ
object,NOUN
indirect,NOUN
object,NOUN
subject,ADJ
complement,NOUN
or,CONJ
object,NOUN
of,ADP
a,DET
preposition,NOUN
The,DET
young,ADJ
girl,NOUN
brought,VERB
me,PRON
a,DET
very,ADV
long,ADJ
letter,NOUN
from,ADP
the,DET
teacher,NOUN
and,CONJ
then,ADV
she,PRON
quickly,ADV
disappeared,VERB
Oh,NOUN
my,PRON
See,NOUN
the,DET
TIP,NOUN
Sheet,NOUN
on,ADP
``,.
Nouns,NOUN
'',.
for,ADP
further,ADJ
information,NOUN
2,NUM
PRONOUN,NOUN
A,NOUN
pronoun,NOUN
is,VERB
a,DET
word,NOUN
used,VERB
in,ADP
place,NOUN
of,ADP
a,DET
noun,ADJ
She,PRON
...,.
we,PRON
...,.
they,PRON
...,.
it,PRON
A,DET
pronoun,NOUN
is,VERB
a,DET
word,NOUN
used,VERB
in,ADP
place,NOUN
of,ADP
a,DET
noun,NOUN
A,DET
pronoun,NOUN
is,VERB
usually,ADV
substituted,VERB
for,ADP
a,DET
specific,ADJ
noun,NOUN
which,DET
is,VERB
called,VERB
its,PRON
antecedent,NOUN
In,ADP
the,DET
sentence,NOUN
above,ADP
the,DET
antecedent,NOUN
for,ADP
the,DET
pronoun,NOUN
she,PRON
is,VERB
the,DET
girl,NOUN
Pronouns,NOUN
are,VERB
further,ADJ
defined,VERB
by,ADP
type,ADJ
personal,ADJ
pronouns,NOUN
refer,VERB
to,PRT
specific,ADJ
persons,NOUN
or,CONJ
things,NOUN
possessive,ADJ
pronouns,NOUN
indicate,VERB
ownership,NOUN
reflexive,ADJ
pronouns,NOUN
are,VERB
used,VERB
to,PRT
emphasize,VERB
another,DET
noun,NOUN
or,CONJ
pronoun,ADJ
relative,ADJ
pronouns,NOUN
introduce,VERB
a,DET
subordinate,NOUN
clause,NOUN
and,CONJ
demonstrative,ADJ
pronouns,NOUN
identify,VERB
point,NOUN
to,PRT
or,CONJ
refer,VERB
to,PRT
nouns,VERB
The,DET
young,ADJ
girl,NOUN
brought,VERB
me,PRON
a,DET
very,ADV
long,ADJ
letter,NOUN
from,ADP
the,DET
teacher,NOUN
and,CONJ
then,ADV
she,PRON
quickly,ADV
disappeared,VERB
Oh,NOUN
my,PRON
See,NOUN
the,DET
TIP,NOUN
Sheet,NOUN
on,ADP
``,.
Pronouns,NOUN
'',.
for,ADP
further,ADJ
information,NOUN
3,NUM
VERB,NOUN
A,NOUN
verb,NOUN
expresses,VERB
action,NOUN
or,CONJ
being,VERB
jump,NOUN
